Name,Score
Suspicious Partner,8.3
Missing Noir M,8.3
Love Playlist Season 4,8.3
Welcome 2 Life,8.3
Awaken,8.3
WATCHER,8.3
Tree With Deep Roots,8.3
The King's Affection,8.3
Ghost,8.3
Mine,8.3
Divorce Attorney Shin,8.3
Angry Mom,8.3
Lawless Lawyer,8.3
Special Affairs Team TEN,8.3
May It Please the Court,8.3
D-Day,8.3
49 Days,8.3
Run On,8.3
God's Quiz,8.3
Touch Your Heart,8.3
Queen for Seven Days,8.3
Coffee Prince,8.3
Leverage,8.3
Rookie Historian Goo Hae Ryung,8.3
Crazy Love,8.3
Liar Game,8.3
A Gentleman's Dignity,8.3
Bulgasal: Immortal Souls,8.3
Oh My Venus,8.3
God's Quiz Season 3,8.3
What Happens to My Family?,8.3
Live Up to Your Name,8.2
Oh My Geum Bi,8.2
Salon De Nabi,8.2
Light on Me,8.2
XX,8.2
Love in the Moonlight,8.2
King2Hearts,8.2
A Korean Odyssey,8.2
God's Quiz Season 2,8.2
Remember: War of the Son,8.2
When the Weather Is Fine,8.2
Bad Prosecutor,8.2
Giant,8.2
Tell Me What You Saw,8.2
Blue Birthday,8.2
Semantic Error,8.2
Hyena,8.2
Secret Garden,8.2
Into the Ring,8.2
A Beautiful Mind,8.2
Find Me in Your Memory,8.2
"Fanletter, Please",8.2
Pegasus Market,8.2
Black Dog,8.2
Zombie Detective,8.2
Who Are You: School 2015,8.2
Another Miss Oh,8.2
Queen of Mystery,8.2
School 2013,8.2
Inspector Koo,8.2
Diary of a Prosecutor,8.2
History of the Salaryman,8.2
May I Help You,8.2
Bloody Heart,8.2
You're All Surrounded,8.2
Something About 1 Percent,8.2
Sungkyunkwan Scandal,8.2
Solomon's Perjury,8.2
All-Boys High,8.2
Somehow 18,8.2
Chief of Staff Season 2,8.2
Search,8.2
"The King's Daughter, Soo Baek Hyang",8.2
Kill It,8.2
To My Star Season 2: Our Untold Stories,8.2
The Light in Your Eyes,8.2
Money Flower,8.2
Unstoppable High Kick,8.2
Vampire Prosecutor,8.2
Special Labor Inspector Jo,8.2
A Piece of Your Mind,8.2
Time Between Dog and Wolf,8.2
Thirty-Nine,8.2
Mama,8.2
School 2017,8.2
Thank You,8.2
Rooftop Prince,8.2
Lovers of the Red Sky,8.2
Go Ho's Starry Night,8.2
My Holo Love,8.2
Fated to Love You,8.2
Romance Is a Bonus Book,8.2
The K2,8.2
Shopping King Louie,8.2
Live On,8.2
Woman of Dignity,8.2
One the Woman,8.2
"Bring It On, Ghost",8.2
Eulachacha Waikiki Season 2,8.2
Uncle,8.2
The Silent Sea,8.2
Falling for Innocence,8.2
Why Her?,8.1
The Most Beautiful Goodbye,8.1
Punch,8.1
"Work Later, Drink Now Season 2",8.1
Jirisan,8.1
Island,8.1
Sassy Go Go,8.1
Café Minamdang,8.1
On the Verge of Insanity,8.1
Love Revolution,8.1
Special Affairs Team TEN Season 2,8.1
Our Blooming Youth,8.1
Girls' Generation 1979,8.1
Suits,8.1
Blueming,8.1
Can You Hear My Heart,8.1
Growing Season,8.1
To My Star,8.1
Life Is Beautiful,8.1
Chimera,8.1
Jealousy Incarnate,8.1
Idol: The Coup,8.1
Catch the Ghost,8.1
38 Task Force,8.1
My Strange Hero,8.1
Chocolate,8.1
The Law Cafe,8.1
The King: Eternal Monarch,8.1
Remarriage and Desires,8.1
Warrior Baek Dong Soo,8.1
Mask,8.1
"Link: Eat, Love, Kill",8.1
Love Playlist Season 2,8.1
Never Twice,8.1
Familiar Wife,8.1
"Marriage, Not Dating",8.1
Start-Up,8.1
Uncontrollably Fond,8.1
Reply 1994,8.1
Insider,8.1
Secret Royal Inspector,8.1
God's Quiz Season 4,8.1
The Killer's Shopping List,8.1
The Package,8.1
Mistress,8.1
The Good Detective Season 2,8.1
A-Teen,8.1
Witch's Court,8.1
High Kick! The Revenge of the Short Legged,8.1
Haechi,8.1
Your Honor,8.1
Narco-Saints,8.1
Ojakgyo Brothers,8.1
Do You Like Brahms?,8.1
Agency,8.1
Love Playlist Season 3,8.1
The Greatest Love,8.1
Hit the Top,8.1
The Witch's Diner,8.1
Black,8.1
Encounter,8.1
The Innocent Man,8.1
Miss Hammurabi,8.1
"Bread, Love and Dreams",8.1
The Penthouse Season 3: War in Life,8.1
Dear.M,8.1
The Good Wife,8.1
Life,8.1
You Are My Spring,8.1
It's Okay to Be Sensitive,8.1
Kiss Sixth Sense,8.1
Faith,8.1
Be My Dream Family,8.1
Yi San,8.1
She Was Pretty,8.1
My Girlfriend Is a Gumiho,8.1
The Golden Spoon,8.1
Twenty Again,8.0
Comrades,8.0
The Slave Hunters,8.0
The Secret Life of My Secretary,8.0
Shadow Beauty,8.0
Moment at Eighteen,8.0
The Legend,8.0
Marriage Contract,8.0
Ho Goo's Love,8.0
The Last Empress,8.0
Hwarang,8.0
Imitation,8.0
Our Dating Sim,8.0
Miracle That We Met,8.0
She Would Never Know,8.0
Here's My Plan,8.0
Save Me Season 2,8.0
Would You Like a Cup of Coffee?,8.0
Scent of a Woman,8.0
Children of a Lesser God,8.0
Argon,8.0
Memories of the Alhambra,8.0
Twenty-Twenty,8.0
You're Beautiful,8.0
Bossam: Steal the Fate,8.0
V.I.P,8.0
Dokgo Rewind,8.0
Wok of Love,8.0
Tomorrow With You,8.0
Unlock My Boss,8.0
"I'm Sorry, I Love You",8.0
Where Your Eyes Linger,8.0
Island Part 2,8.0
The Kingdom of the Winds,8.0
Anna: Extended Version,8.0
Shut Up: Flower Boy Band,8.0
When the Devil Calls Your Name,8.0
A-Teen Season 2,8.0
Chief of Staff,8.0
Once Upon a Small Town,8.0
Heart Surgeons,8.0
Dream High,8.0
The Universe’s Star,8.0
"Hello, Me!",8.0
I Started Following Romance,8.0
